entry_date,exit_date,entry_t,exit_t,entry_price,exit_price,size,fee_entry,fee_exit,pnl,pnl_pct,exit_reason,equity_after_trade
2024-06-10,2024-07-01,2119,2134,61.0700,63.1400,100.175236,3.0589,3.1625,201.1413,3.2879,TP,6321.9018
2024-07-30,2024-07-31,2155,2156,60.2200,61.6300,104.927638,3.1594,3.2333,141.5552,2.2402,TP,6463.4571
2024-08-05,2024-08-21,2159,2171,57.0200,58.3000,113.297561,3.2301,3.3026,138.4880,2.1437,TP,6601.9451
2024-08-23,2024-08-27,2173,2175,57.4000,59.8000,114.958982,3.2993,3.4373,269.1647,4.0791,TP,6871.1098
2024-12-13,2025-01-06,2251,2263,55.8600,52.5600,122.944430,3.4338,3.2310,-412.3813,-6.0047,SL,6458.7284
2025-03-05,2025-03-07,2303,2305,55.5900,57.0200,116.127013,3.2278,3.3108,159.5231,2.4711,TP,6618.2516
2025-04-04,2025-04-08,2325,2327,52.6800,49.2000,125.568414,3.3075,3.0890,-443.3745,-6.7026,SL,6174.8771
2025-04-11,2025-04-24,2330,2337,53.6600,55.3100,115.016608,3.0859,3.1808,183.5109,2.9734,TP,6358.3880
2025-05-02,2025-05-12,2342,2348,52.8000,54.2800,120.363835,3.1776,3.2667,171.6941,2.7016,TP,6530.0821
2025-06-25,2025-06-26,2379,2380,50.4800,52.0000,129.295142,3.2634,3.3617,189.9036,2.9096,TP,6719.9857
2025-11-13,2025-11-28,2480,2490,65.6700,67.4000,102.278477,3.3583,3.4468,170.1370,2.5331,TP,6890.1227
2025-12-01,2025-12-01,2491,2491,67.9400,67.9400,101.364132,3.4433,3.4433,-6.8867,-0.1000,EOD,6883.2360
